KW;Artikelnr.;Prüfziffer;Artikelbezeichnung;Abgabemenge;Palette;SA-GP;SA-VK;Spanne;N-GP;VK1;Spanne;VK2;Spanne;VK3;Spanne;KZ L/S;Einmalkauf;MHD;Sondertext;Druckkz;Endverbr. von;Endverbr. Bis;Lieferd. Von;Sortiment;
28;6146135008;;Lübzer Naturradler Zitrone 0,5l DPG;5 KOA;0;;;;;;;;;;;L;;;;0;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
28;5982929000;4;Haribo Phantasia 750g;12 DS;24;3,049;3,33;2;3,429;4,99;35;4,79;32;4,69;30;L;;120;Wochenendknaller;2;09.07.2026;11.07.2026;06.07.2026;Grundnahrung;
28;5982928007;4;Haribo Bunte Runde 750g;12 DS;24;3,049;3,33;2;3,429;4,99;35;4,79;32;4,69;30;L;;120;Wochenendknaller;0;09.07.2026;11.07.2026;06.07.2026;Grundnahrung;
28;5982952000;2;Haribo Color-Rado 750g;12 DS;24;3,049;3,33;2;3,429;4,99;35;4,79;32;4,69;30;L;;120;Wochenendknaller;0;09.07.2026;11.07.2026;06.07.2026;Grundnahrung;
28;5982953003;2;Haribo Nimm Dir Saures 750g;12 DS;24;3,049;3,33;2;3,429;4,99;35;4,79;32;4,69;30;L;;120;Wochenendknaller;0;09.07.2026;11.07.2026;06.07.2026;Grundnahrung;
28;5982965006;8;Haribo Lakritz Parade 750g;12 DS;24;3,049;3,33;2;3,429;4,99;35;4,79;32;4,69;30;L;;120;Wochenendknaller;0;09.07.2026;11.07.2026;06.07.2026;Grundnahrung;
28;6001459009;0;Haribo Fußball-Party 750g;12 DS;24;3,049;3,33;2;3,429;4,99;35;4,79;32;4,69;30;L;EK;120;Wochenendknaller;1;09.07.2026;11.07.2026;06.07.2026;Grundnahrung;
28;6293831004;4;Haribo Lakritz-Konfekt bunt 750g;12 DS;24;3,049;3,33;2;3,429;4,99;35;4,79;32;4,69;30;L;EK;120;Wochenendknaller;1;09.07.2026;11.07.2026;06.07.2026;Grundnahrung;
28;6293832007;4;Haribo Lakritz-Konfekt 750g;12 DS;24;3,049;3,33;2;3,429;4,99;35;4,79;32;4,69;30;L;EK;120;Wochenendknaller;1;09.07.2026;11.07.2026;06.07.2026;Grundnahrung;
28;6345890003;6;Haribo Color-Rado Farb-Mix 750g;12 DS;24;3,049;3,33;2;3,429;4,99;35;4,79;32;4,69;30;L;EK;120;Wochenendknaller;1;09.07.2026;11.07.2026;06.07.2026;Grundnahrung;
28;6679846006;2;Haribo Color-Rado 875g;12 DS;20;3,049;3,33;2;3,429;4,99;35;4,79;32;4,69;30;L;;160;Wochenendknaller;1;09.07.2026;11.07.2026;06.07.2026;Grundnahrung;
28;6679847009;2;Haribo Phantasia 875g;12 DS;20;3,049;3,33;2;3,429;4,99;35;4,79;32;4,69;30;L;;160;Wochenendknaller;1;09.07.2026;11.07.2026;06.07.2026;Grundnahrung;
28;6679854007;8;Haribo Nimm Dir Saures 875g;12 DS;20;3,049;3,33;2;3,429;4,99;35;4,79;32;4,69;30;L;;160;Wochenendknaller;1;09.07.2026;11.07.2026;06.07.2026;Grundnahrung;
28;6009889000;0;Haribo Süd 2f.96x750g 1/4CH;96 ST;4;3,049;3,33;2;3,429;4,99;35;4,79;32;4,69;30;L;EK;120;Wochenendknaller;0;09.07.2026;11.07.2026;06.07.2026;Grundnahrung;
28;6009889000;;Haribo Phantasia 750g;60 ST;0;;;;;;;;;;;L;;;;0;09.07.2026;11.07.2026;06.07.2026;Grundnahrung;
28;6009889000;;Haribo Color-Rado 750g;36 ST;0;;;;;;;;;;;L;;;;0;09.07.2026;11.07.2026;06.07.2026;Grundnahrung;
28;5865525008;4;Whiskas Klassische Auswahl 12x85g;4 ST;72;2,747;3;2;3,582;4,99;41;4,89;40;4,79;39;L;;240;Wochenend-Knaller;2;09.07.2026;11.07.2026;06.07.2026;Tiernahrung+Pflanzen;
28;3245203007;0;Whiskas 1+ Ragout Fischauswahl 12x85g;4 PA;72;2,747;3;2;3,582;4,99;41;4,89;40;4,79;39;L;EK;240;Wochenend-Knaller;1;09.07.2026;11.07.2026;06.07.2026;Tiernahrung+Pflanzen;
28;5837209004;8;Whiskas Gemischte Auswahl 12x85g;4 PA;72;2,747;3;2;3,582;4,99;41;4,89;40;4,79;39;L;;240;Wochenend-Knaller;0;09.07.2026;11.07.2026;06.07.2026;Tiernahrung+Pflanzen;
28;5863692001;2;Whiskas Fisch Auswahl in Gelee 12x85g;4 PA;72;2,747;3;2;3,582;4,99;41;4,89;40;4,79;39;L;;240;Wochenend-Knaller;2;09.07.2026;11.07.2026;06.07.2026;Tiernahrung+Pflanzen;
28;5890322007;4;Whiskas MP Junior Kl.Auswahl Sauce12x85g;4 PA;72;2,747;3;2;3,582;4,99;41;4,89;40;4,79;39;L;;240;Wochenend-Knaller;0;09.07.2026;11.07.2026;06.07.2026;Tiernahrung+Pflanzen;
28;6018293009;4;Whiskas Pure Delight Geflügel 12x85g;4 PA;72;2,747;3;2;3,582;4,99;41;4,89;40;4,79;39;L;;240;Wochenend-Knaller;0;09.07.2026;11.07.2026;06.07.2026;Tiernahrung+Pflanzen;
28;6018302002;2;Whiskas Geflügel Auswahl in Gelee 12x85g;4 PA;72;2,747;3;2;3,582;4,99;41;4,89;40;4,79;39;L;;240;Wochenend-Knaller;0;09.07.2026;11.07.2026;06.07.2026;Tiernahrung+Pflanzen;
