KW;Artikelnr.;Prüfziffer;Artikelbezeichnung;Abgabemenge;Palette;SA-GP;SA-VK;Spanne;N-GP;VK1;Spanne;VK2;Spanne;VK3;Spanne;KZ L/S;Einmalkauf;MHD;Sondertext;Druckkz;Endverbr. von;Endverbr. Bis;Lieferd. Von;Sortiment;
27;4028638009;7;Three Sixty Vodka Bitt.Lem.10% 0,33l DPG;12 DS;126;1,331;1,66;5;1,629;2,99;47;2,79;43;2,69;41;L;EK;;Wochenend-Knaller;1;02.07.2026;04.07.2026;29.06.2026;Wein/Spirituosen;
27;4028646000;3;Three Sixty Vodka Maracuja 10% 0,33l DPG;12 DS;126;1,331;1,66;5;1,629;2,99;47;2,79;43;2,69;41;L;EK;;Wochenend-Knaller;1;02.07.2026;04.07.2026;29.06.2026;Wein/Spirituosen;
27;5246267000;7;Three Sixty Icetea Lemon 10% 0,33l DPG;12 DS;0;1,5249;1,66;-9;;2,99;39;2,79;35;2,69;33;S;;;Wochenend-Knaller;1;02.07.2026;04.07.2026;29.06.2026;Wein/Spirituosen;
27;5246306004;3;Three Sixty Icet.Watermel.10% 0,33l DPG;12 DS;0;1,5762;1,66;-13;;2,99;37;2,79;33;2,69;30;S;;;Wochenend-Knaller;1;02.07.2026;04.07.2026;29.06.2026;Wein/Spirituosen;
27;5590730007;1;Three Sixty Dark Berry 10% 0,33l DPG;12 DS;126;1,331;1,66;5;1,629;2,99;47;2,79;43;2,69;41;L;EK;;Wochenend-Knaller;1;02.07.2026;04.07.2026;29.06.2026;Wein/Spirituosen;
27;5755854007;3;Three Sixty Icetea Cherry 10% 0,33l DPG;12 DS;0;1,5762;1,66;-13;;2,99;37;2,79;33;2,69;30;S;;;Wochenend-Knaller;1;02.07.2026;04.07.2026;29.06.2026;Wein/Spirituosen;
27;6164126002;1;Thr.Sixty Mango Dome Ed.10% 0,33l DPG;12 DS;0;1,5762;1,66;-13;;2,99;37;2,79;33;2,69;30;S;;;Wochenend-Knaller;1;02.07.2026;04.07.2026;29.06.2026;Wein/Spirituosen;
27;6164254006;1;Thr.Sixty Vod.Pornst.Mart.10% 0,25l DPG;12 DS;144;1,331;1,66;5;1,629;2,99;47;2,79;43;2,69;41;L;EK;;Wochenend-Knaller;1;02.07.2026;04.07.2026;29.06.2026;Wein/Spirituosen;
27;6164264003;7;Thr.Sixty V.Espr.Martini 10% 0,25l DPG;12 DS;144;1,331;1,66;5;1,629;2,99;47;2,79;43;2,69;41;L;EK;;Wochenend-Knaller;1;02.07.2026;04.07.2026;29.06.2026;Wein/Spirituosen;
27;6615548001;9;Three Sixty Vodka Acai 10% 0,33l DPG;12 DS;0;1,5762;1,66;-13;;2,99;37;2,79;33;2,69;30;S;;;Wochenend-Knaller;1;02.07.2026;04.07.2026;29.06.2026;Wein/Spirituosen;
